Non-chemical control strategies,Point of use,Effectiveness,Strength of evidence,Inexpensive to implement,Economic importance,Ease of implementation,Speed of impact,Current use,Potential use,P-c USE,Priority scoring
Efficacy of chemical control (for reference),-,5,,,,,,,,,
"Field history, rotation and break crops",Crop planning,1,4,3,5,3,2,1,1,,
Primary cultivations (crop residue burial),Pre-cropping,1,2,3,5,3,3,1,1,,
Seed rate,Pre-cropping,1,3,2,5,2,2,1,1,,
Sowing date,Pre-cropping,3,4,4,5,2,4,2,4,,
Variety choice,Pre-cropping,4,5,4,5,4,4,4,5,,
Variety mixtures,Pre-cropping,4,3,4,5,3,3,1,3,,
Bioprotectants and low risk PPP’s,In-crop,3,2,3,5,4,4,1,3,,
Decision support (incl thresholds),In-crop,4,3,4,5,3,4,2,4,,
Nutrient management,In-crop,2,4,3,5,3,4,1,3,,
